亞洲股市指數行情,亞洲股市指數行情,亞洲股市指數行情,亞洲股市指數行情,亞洲股市指數行情
股市,指數,漲跌,比例,當地
紐西蘭,12182.25,-61.09,-0.50%,17:42
澳洲股市,7424.00,80.00,1.09%,17:43
日經225,29149.41,600.40,2.10%,15:00
東證一部,1947.44,36.42,1.91%,15:00
東證二部,7446.12,32.12,0.43%,15:00
JASDAQ,182.37,1.21,0.67%,15:00
韓國股市,3188.73,23.22,0.73%,18:01
台灣加權,16870.86,269.25,1.62%,05/28
台灣店頭,200.65,2.04,1.03%,05/28
上海綜合,3600.78,-8.07,-0.22%,15:59
上海A股,3774.39,-8.48,-0.22%,15:59
上海B股,249.87,0.58,0.23%,15:59
深圳A股,2504.54,-6.08,-0.24%,16:29
深圳B股,1153.71,3.75,0.33%,16:29
滬深300,5321.09,-17.14,-0.32%,15:59
深證成指,14852.88,-44.31,-0.30%,16:29
中小板指,9506.21,-37.90,-0.40%,16:29
創業板指,3232.29,6.18,0.19%,16:29
香港恆生,29135.37,22.00,0.08%,16:00
香港國企,10793.55,-54.80,-0.51%,13:00
香港紅籌,4168.09,-5.70,-0.14%,13:00
香港創業板,102.76,-4.89,-4.54%,16:27
新加坡,3178.50,13.68,0.43%,17:48
菲律賓,6674.51,0.00,0%,13:00
馬來西亞,1594.44,0.54,0.03%,17:05
越南股市,1320.46,16.89,1.30%,15:01
泰國股市,1581.98,-0.98,-0.06%,16:42
印尼股市,5848.62,6.79,0.12%,15:15
印度股市,51422.88,307.66,0.60%,17:52
